ordem,tempo_25k,tempo_50k,tempo_75k,tempo_100k
crescente,0.923425,3.440795,7.725585,13.725027
pivRdm,tempo_25k,tempo_50k,tempo_75k,tempo_100k
0.502104,1.921761,5.500633,7.044408
decrescente,0.861341,3.433137,7.722843,13.726772
pivRdm,tempo_25k,tempo_50k,tempo_75k,tempo_100k
0.643463,1.876970,5.950718,8.751532
aleatorio,0.859594,3.434387,7.726721,13.729028
pivRdm,tempo_25k,tempo_50k,tempo_75k,tempo_100k
0.675606,1.895605,5.745113,7.552594
aleatorio100kk,0.861441,3.433700,7.720425,13.723890
pivRdm,tempo_25k,tempo_50k,tempo_75k,tempo_100k
0.440831,2.034240,4.988885,9.150264
